candidate,n_folds,seed,fold,system,coef,coef_norm,intercept
ours+all,5,42,3,LFCC-LCNN,0.05977099597423596,0.028166194719369094,-2.1932580296461697
ours+all,5,42,3,RawNet2,-0.08911998174430609,-0.04199646865979517,-2.1932580296461697
ours+all,5,42,4,timepool_T150_aug,0.7392299488279364,0.3504039008077487,-2.180200699088689
ours+all,5,42,4,flatten_T400_aug,0.5492816619216173,0.2603661246201719,-2.180200699088689
ours+all,5,42,4,CQCC-GMM,0.34987951407779605,0.1658471044631819,-2.180200699088689
ours+all,5,42,4,LFCC-GMM,0.31112603963659224,0.14747749073800537,-2.180200699088689
ours+all,5,42,4,LFCC-LCNN,0.06634473310679337,0.03144820270814065,-2.180200699088689
ours+all,5,42,4,RawNet2,-0.09378912835639784,-0.04445717666275167,-2.180200699088689
ours,5,43,0,timepool_T150_aug,1.1750938892364502,1.0,-2.025174140930176
ours,5,43,1,timepool_T150_aug,1.179761290550232,1.0,-2.0279829502105713
ours,5,43,2,timepool_T150_aug,1.193337082862854,1.0,-2.012861490249634
ours,5,43,3,timepool_T150_aug,1.1641546487808228,1.0,-2.0248830318450928
ours,5,43,4,timepool_T150_aug,1.1299476623535156,1.0,-2.005605936050415
ours+2GMM,5,43,0,timepool_T150_aug,1.1042540509777072,0.6060309863049065,-2.135909318490694
ours+2GMM,5,43,0,CQCC-GMM,0.3337174953741692,0.18314910657537967,-2.135909318490694
ours+2GMM,5,43,0,LFCC-GMM,0.38413668892263886,0.21081990711971374,-2.135909318490694
ours+2GMM,5,43,1,timepool_T150_aug,1.0962347730768656,0.6116456015272224,-2.13782774135109
ours+2GMM,5,43,1,CQCC-GMM,0.3895509752791002,0.21735046766610333,-2.13782774135109
ours+2GMM,5,43,1,LFCC-GMM,0.3064854138001406,0.17100393080667434,-2.13782774135109
ours+2GMM,5,43,2,timepool_T150_aug,1.0903399216012244,0.5889915696081689,-2.135014620924043
ours+2GMM,5,43,2,CQCC-GMM,0.4489750396609148,0.24253217559568366,-2.135014620924043
ours+2GMM,5,43,2,LFCC-GMM,0.311882879016935,0.16847625479614736,-2.135014620924043
ours+2GMM,5,43,3,timepool_T150_aug,1.0633543246897643,0.5952434466727532,-2.1332902289859965
ours+2GMM,5,43,3,CQCC-GMM,0.4044506538366162,0.22640299250110663,-2.1332902289859965
ours+2GMM,5,43,3,LFCC-GMM,0.3186142263109378,0.1783535608261403,-2.1332902289859965
ours+2GMM,5,43,4,timepool_T150_aug,1.024910258473873,0.5869159550415902,-2.117228458400554
ours+2GMM,5,43,4,CQCC-GMM,0.4382414860121517,0.2509594554011624,-2.117228458400554
ours+2GMM,5,43,4,LFCC-GMM,0.283112349495277,0.1621245895572474,-2.117228458400554
ours+4base,5,43,0,timepool_T150_aug,1.0809741793716512,0.543482308785839,-2.1404852801752376
ours+4base,5,43,0,CQCC-GMM,0.347981435748549,0.17495492281338784,-2.1404852801752376
ours+4base,5,43,0,LFCC-GMM,0.3737052044392048,0.18788808390590997,-2.1404852801752376
ours+4base,5,43,0,LFCC-LCNN,0.11485918609093308,0.057747850811985565,-2.1404852801752376
ours+4base,5,43,0,RawNet2,-0.07145767015771219,-0.03592683368287756,-2.1404852801752376
ours+4base,5,43,1,timepool_T150_aug,1.0739655346682024,0.5352070615866381,-2.144765492372245
ours+4base,5,43,1,CQCC-GMM,0.4001830634570891,0.19942986490323278,-2.144765492372245
